yLeafs,yLists,leafsInLists,mDepth,spUsed,assignm,funcCalls,Y
2,2,0,4,1,53405,80913,762234
4,2,2,4,1,55631,84338,826313
6,2,6,4,1,58970,89474,833099
8,2,12,4,1,63422,96322,939427
10,2,20,4,1,68987,104882,977498
12,2,30,4,1,75665,115154,1010554
14,2,42,4,1,83456,127138,1280995
16,2,56,4,1,92360,140834,1281485
18,2,72,4,1,102377,156242,1562586
20,2,90,4,1,113507,173362,1507543
22,2,110,4,1,125750,192194,1769978
24,2,132,4,1,139106,212738,1846747
26,2,156,4,1,153575,234994,2072357
28,2,182,4,1,169157,258962,2340768
30,2,210,4,1,185852,284642,2743044
32,2,240,4,1,203660,312034,2825622
34,2,272,4,1,222581,341138,2861227
36,2,306,4,1,242615,371954,3202856
38,2,342,4,1,263762,404482,3595069
40,2,380,4,1,286022,438722,3807923
42,2,420,4,1,309395,474674,4400799
44,2,462,4,1,333881,512338,5216841
46,2,506,4,1,359480,551714,5556737
48,2,552,4,1,386192,592802,6220190
50,2,600,4,1,414017,635602,6867793
52,2,650,4,1,442955,680114,6266274
54,2,702,4,1,473006,726338,6827424
56,2,756,4,1,504170,774274,7018764
58,2,812,4,1,536447,823922,7498155
60,2,870,4,1,569837,875282,8042841
62,2,930,4,1,604340,928354,8543733
64,2,992,4,1,639956,983138,8987111
66,2,1056,4,1,676685,1039634,9142244
68,2,1122,4,1,714527,1097842,10111317
70,2,1190,4,1,753482,1157762,10315583
72,2,1260,4,1,793550,1219394,10561777
74,2,1332,4,1,834731,1282738,10696834
76,2,1406,4,1,877025,1347794,11071787
78,2,1482,4,1,920432,1414562,12149469
80,2,0,4,1,96886,147763,2772067
82,2,80,4,1,142519,217956,3807180
84,2,162,4,1,189265,289860,4987499
86,2,246,4,1,237124,363476,6460390
88,2,332,4,1,286096,438804,7054317
90,2,420,4,1,336181,515844,8249696
92,2,510,4,1,387379,594596,9629750
94,2,602,4,1,439690,675060,10856453
96,2,696,4,1,493114,757236,11944946
98,2,792,4,1,547651,841124,13439834
100,2,890,4,1,603301,926724,15013297
2,2,0,4,0,63,84,94110
4,2,2,4,0,63,84,68119
6,2,6,4,0,63,84,88329
8,2,12,4,0,63,84,78480
10,2,20,4,0,63,84,74390
12,2,30,4,0,63,84,99777
14,2,42,4,0,63,84,106862
16,2,56,4,0,63,84,74664
18,2,72,4,0,63,84,62494
20,2,90,4,0,63,84,81596
22,2,110,4,0,63,84,75950
24,2,132,4,0,63,84,83711
26,2,156,4,0,63,84,69546
28,2,182,4,0,63,84,84293
30,2,210,4,0,63,84,98888
32,2,240,4,0,63,84,100076
34,2,272,4,0,63,84,86544
36,2,306,4,0,63,84,96684
38,2,342,4,0,63,84,91055
40,2,380,4,0,63,84,83393
42,2,420,4,0,63,84,118630
44,2,462,4,0,63,84,99730
46,2,506,4,0,63,84,86943
48,2,552,4,0,63,84,87354
50,2,600,4,0,63,84,89953
52,2,650,4,0,63,84,118499
54,2,702,4,0,63,84,111377
56,2,756,4,0,63,84,91644
58,2,812,4,0,63,84,91997
60,2,870,4,0,63,84,92655
62,2,930,4,0,63,84,121508
64,2,992,4,0,63,84,193978
66,2,1056,4,0,63,84,110150
68,2,1122,4,0,63,84,108899
70,2,1190,4,0,63,84,97789
72,2,1260,4,0,63,84,98735
74,2,1332,4,0,63,84,130687
76,2,1406,4,0,63,84,140264
78,2,1482,4,0,63,84,96543
80,2,1560,4,0,63,84,114820
82,2,1640,4,0,63,84,115653
84,2,1722,4,0,63,84,91451
